Unnamed: 0,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
13,14,Science Fair,Concert,Houston,12:45:00,17:45:00,2024-11-03,2024-11-03 12:45:00,2024-11-03 12:45:00
647,648,Book Launch,Concert,Boston,10:00:00,12:00:00,2024-11-14,2024-11-14 10:00:00,2024-11-14 10:00:00
704,705,Music Concert,Launch,Chicago,11:30:00,12:30:00,2024-11-20,2024-11-20 11:30:00,2024-11-20 11:30:00
106,107,Film Screening,Screening,Austin,16:30:00,20:30:00,2024-11-24,2024-11-24 16:30:00,2024-11-24 16:30:00
468,469,Tech Talk,Exhibition,Houston,13:30:00,18:30:00,2024-12-01,2024-12-01 13:30:00,2024-12-01 13:30:00
574,575,Book Launch,Workshop,Austin,10:15:00,13:15:00,2024-12-20,2024-12-20 10:15:00,2024-12-20 10:15:00
782,783,Comedy Night,Concert,Seattle,12:30:00,15:30:00,2024-12-23,2024-12-23 12:30:00,2024-12-23 12:30:00
81,82,Comedy Night,Exhibition,Houston,12:45:00,13:45:00,2025-01-11,2025-01-11 12:45:00,2025-01-11 12:45:00
458,459,Comedy Night,Concert,Denver,09:30:00,14:30:00,2025-01-31,2025-01-31 09:30:00,2025-01-31 09:30:00
943,944,Tech Talk,Workshop,Seattle,11:45:00,13:45:00,2025-02-03,2025-02-03 11:45:00,2025-02-03 11:45:00
427,428,Art Exhibition,Festival,Los Angeles,09:00:00,11:00:00,2025-02-09,2025-02-09 09:00:00,2025-02-09 09:00:00
40,41,Book Launch,Launch,Boston,18:00:00,23:00:00,2025-02-17,2025-02-17 18:00:00,2025-02-17 18:00:00
438,439,Art Exhibition,Exhibition,Denver,09:15:00,12:15:00,2025-02-20,2025-02-20 09:15:00,2025-02-20 09:15:00
520,521,Food Festival,Exhibition,Chicago,17:45:00,20:45:00,2025-04-19,2025-04-19 17:45:00,2025-04-19 17:45:00
201,202,Food Festival,Class,Miami,11:00:00,15:00:00,2025-05-23,2025-05-23 11:00:00,2025-05-23 11:00:00
27,28,Film Screening,Concert,Los Angeles,14:30:00,18:30:00,2025-06-07,2025-06-07 14:30:00,2025-06-07 14:30:00
301,302,Yoga Class,Concert,Chicago,18:30:00,19:30:00,2025-06-07,2025-06-07 18:30:00,2025-06-07 18:30:00
432,433,Comedy Night,Screening,Houston,18:15:00,19:15:00,2025-06-09,2025-06-09 18:15:00,2025-06-09 18:15:00
434,435,Yoga Class,Class,Seattle,09:30:00,10:30:00,2025-06-26,2025-06-26 09:30:00,2025-06-26 09:30:00
854,855,Music Concert,Class,Seattle,13:00:00,16:00:00,2025-07-26,2025-07-26 13:00:00,2025-07-26 13:00:00
31,32,Music Concert,Conference,Boston,09:30:00,14:30:00,2025-08-27,2025-08-27 09:30:00,2025-08-27 09:30:00
741,742,Film Screening,Screening,Austin,10:45:00,11:45:00,2025-09-22,2025-09-22 10:45:00,2025-09-22 10:45:00
702,703,Comedy Night,Launch,Boston,15:15:00,18:15:00,2025-10-11,2025-10-11 15:15:00,2025-10-11 15:15:00
639,640,Book Launch,Festival,Seattle,13:00:00,14:00:00,2025-10-12,2025-10-12 13:00:00,2025-10-12 13:00:00
775,776,Yoga Class,Concert,Boston,18:00:00,22:00:00,2025-11-06,2025-11-06 18:00:00,2025-11-06 18:00:00
36,37,Book Launch,Fair,Chicago,08:15:00,13:15:00,2025-11-15,2025-11-15 08:15:00,2025-11-15 08:15:00
679,680,Film Screening,Fair,Austin,08:30:00,09:30:00,2025-11-15,2025-11-15 08:30:00,2025-11-15 08:30:00
307,308,Coding Workshop,Screening,Chicago,11:15:00,16:15:00,2025-11-21,2025-11-21 11:15:00,2025-11-21 11:15:00
991,992,Book Launch,Concert,San Francisco,14:45:00,19:45:00,2025-12-05,2025-12-05 14:45:00,2025-12-05 14:45:00
306,307,Music Concert,Exhibition,Boston,13:30:00,18:30:00,2025-12-07,2025-12-07 13:30:00,2025-12-07 13:30:00
326,327,Tech Talk,Fair,Chicago,18:00:00,22:00:00,2025-12-17,2025-12-17 18:00:00,2025-12-17 18:00:00
691,692,Yoga Class,Class,Seattle,14:15:00,17:15:00,2025-12-19,2025-12-19 14:15:00,2025-12-19 14:15:00
536,537,Film Screening,Launch,Los Angeles,09:00:00,12:00:00,2025-12-22,2025-12-22 09:00:00,2025-12-22 09:00:00
