,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
2,3,Science Fair,Conference,Boston,17:45:00,21:45:00,2025-02-10,2025-02-10 17:45:00,2025-02-10 21:45:00
3,4,Science Fair,Launch,Boston,17:15:00,19:15:00,2025-05-17,2025-05-17 17:15:00,2025-05-17 19:15:00
4,5,Book Launch,Screening,Seattle,16:30:00,18:30:00,2025-01-16,2025-01-16 16:30:00,2025-01-16 18:30:00
5,6,Music Concert,Festival,Houston,14:00:00,18:00:00,2025-10-30,2025-10-30 14:00:00,2025-10-30 18:00:00
6,7,Food Festival,Launch,Austin,11:30:00,15:30:00,2025-06-02,2025-06-02 11:30:00,2025-06-02 15:30:00
7,8,Music Concert,Exhibition,Seattle,08:00:00,10:00:00,2024-12-04,2024-12-04 08:00:00,2024-12-04 10:00:00
9,10,Music Concert,Concert,Boston,17:00:00,20:00:00,2024-11-08,2024-11-08 17:00:00,2024-11-08 20:00:00
10,11,Music Concert,Festival,Seattle,09:30:00,13:30:00,2025-07-15,2025-07-15 09:30:00,2025-07-15 13:30:00
13,14,Science Fair,Concert,Houston,12:45:00,17:45:00,2024-11-03,2024-11-03 12:45:00,2024-11-03 17:45:00
18,19,Art Exhibition,Fair,Houston,11:15:00,16:15:00,2024-11-23,2024-11-23 11:15:00,2024-11-23 16:15:00
19,20,Science Fair,Festival,Denver,08:45:00,10:45:00,2025-09-29,2025-09-29 08:45:00,2025-09-29 10:45:00
22,23,Coding Workshop,Show,Denver,08:00:00,10:00:00,2025-04-01,2025-04-01 08:00:00,2025-04-01 10:00:00
26,27,Coding Workshop,Screening,New York,08:15:00,10:15:00,2025-09-01,2025-09-01 08:15:00,2025-09-01 10:15:00
27,28,Film Screening,Concert,Los Angeles,14:30:00,18:30:00,2025-06-07,2025-06-07 14:30:00,2025-06-07 18:30:00
30,31,Comedy Night,Exhibition,San Francisco,15:30:00,19:30:00,2025-08-18,2025-08-18 15:30:00,2025-08-18 19:30:00
31,32,Music Concert,Conference,Boston,09:30:00,14:30:00,2025-08-27,2025-08-27 09:30:00,2025-08-27 14:30:00
32,33,Tech Talk,Workshop,Seattle,18:45:00,19:45:00,2025-07-20,2025-07-20 18:45:00,2025-07-20 19:45:00
33,34,Yoga Class,Workshop,New York,11:00:00,14:00:00,2025-06-10,2025-06-10 11:00:00,2025-06-10 14:00:00
34,35,Science Fair,Class,Boston,15:15:00,17:15:00,2025-06-30,2025-06-30 15:15:00,2025-06-30 17:15:00
36,37,Book Launch,Fair,Chicago,08:15:00,13:15:00,2025-11-15,2025-11-15 08:15:00,2025-11-15 13:15:00
39,40,Yoga Class,Exhibition,Houston,16:30:00,17:30:00,2025-10-05,2025-10-05 16:30:00,2025-10-05 17:30:00
40,41,Book Launch,Launch,Boston,18:00:00,23:00:00,2025-02-17,2025-02-17 18:00:00,2025-02-17 23:00:00
