event_id,name,type,location,start_time,end_time,date
1,Tech Talk,Fair,Seattle,18:00:00,22:00:00,2023-05-18
2,Science Fair,Launch,Austin,15:45:00,19:45:00,2024-02-10
3,Science Fair,Conference,Boston,17:45:00,21:45:00,2025-02-10
4,Science Fair,Launch,Boston,17:15:00,19:15:00,2025-05-17
5,Book Launch,Screening,Seattle,16:30:00,18:30:00,2025-01-16
6,Music Concert,Festival,Houston,14:00:00,18:00:00,2025-10-30
7,Food Festival,Launch,Austin,11:30:00,15:30:00,2025-06-02
8,Music Concert,Exhibition,Seattle,08:00:00,10:00:00,2024-12-04
9,Coding Workshop,Conference,Los Angeles,15:00:00,17:00:00,2023-11-30
10,Music Concert,Concert,Boston,17:00:00,20:00:00,2024-11-08
11,Music Concert,Festival,Seattle,09:30:00,13:30:00,2025-07-15
12,Tech Talk,Class,Los Angeles,11:15:00,15:15:00,2024-03-10
13,Film Screening,Workshop,Miami,18:45:00,19:45:00,2024-10-29
14,Science Fair,Concert,Houston,12:45:00,17:45:00,2024-11-03
15,Food Festival,Fair,Chicago,09:15:00,13:15:00,2024-07-20
16,Comedy Night,Screening,Houston,08:15:00,12:15:00,2023-11-20
17,Music Concert,Class,Chicago,13:45:00,15:45:00,2024-07-03
18,Science Fair,Conference,Denver,08:45:00,13:45:00,2024-05-04
19,Art Exhibition,Fair,Houston,11:15:00,16:15:00,2024-11-23
20,Science Fair,Festival,Denver,08:45:00,10:45:00,2025-09-29
21,Coding Workshop,Show,Boston,15:15:00,17:15:00,2024-08-24
22,Food Festival,Conference,Denver,15:30:00,16:30:00,2024-10-30
23,Coding Workshop,Show,Denver,08:00:00,10:00:00,2025-04-01
24,Food Festival,Show,Austin,13:30:00,18:30:00,2024-08-25
25,Science Fair,Exhibition,Los Angeles,10:00:00,15:00:00,2023-06-07
26,Yoga Class,Screening,Miami,15:00:00,17:00:00,2024-02-15
27,Coding Workshop,Screening,New York,08:15:00,10:15:00,2025-09-01
28,Film Screening,Concert,Los Angeles,14:30:00,18:30:00,2025-06-07
