,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
0,1,Tech Talk,Fair,Seattle,18:00:00,22:00:00,2023-05-18,2023-05-18 18:00:00,2023-05-18 22:00:00
1,2,Science Fair,Launch,Austin,15:45:00,19:45:00,2024-02-10,2024-02-10 15:45:00,2024-02-10 19:45:00
8,9,Coding Workshop,Conference,Los Angeles,15:00:00,17:00:00,2023-11-30,2023-11-30 15:00:00,2023-11-30 17:00:00
11,12,Tech Talk,Class,Los Angeles,11:15:00,15:15:00,2024-03-10,2024-03-10 11:15:00,2024-03-10 15:15:00
12,13,Film Screening,Workshop,Miami,18:45:00,19:45:00,2024-10-29,2024-10-29 18:45:00,2024-10-29 19:45:00
14,15,Food Festival,Fair,Chicago,09:15:00,13:15:00,2024-07-20,2024-07-20 09:15:00,2024-07-20 13:15:00
15,16,Comedy Night,Screening,Houston,08:15:00,12:15:00,2023-11-20,2023-11-20 08:15:00,2023-11-20 12:15:00
16,17,Music Concert,Class,Chicago,13:45:00,15:45:00,2024-07-03,2024-07-03 13:45:00,2024-07-03 15:45:00
17,18,Science Fair,Conference,Denver,08:45:00,13:45:00,2024-05-04,2024-05-04 08:45:00,2024-05-04 13:45:00
20,21,Coding Workshop,Show,Boston,15:15:00,17:15:00,2024-08-24,2024-08-24 15:15:00,2024-08-24 17:15:00
21,22,Food Festival,Conference,Denver,15:30:00,16:30:00,2024-10-30,2024-10-30 15:30:00,2024-10-30 16:30:00
23,24,Food Festival,Show,Austin,13:30:00,18:30:00,2024-08-25,2024-08-25 13:30:00,2024-08-25 18:30:00
24,25,Science Fair,Exhibition,Los Angeles,10:00:00,15:00:00,2023-06-07,2023-06-07 10:00:00,2023-06-07 15:00:00
25,26,Yoga Class,Screening,Miami,15:00:00,17:00:00,2024-02-15,2024-02-15 15:00:00,2024-02-15 17:00:00
28,29,Music Concert,Conference,Austin,11:30:00,14:30:00,2023-09-14,2023-09-14 11:30:00,2023-09-14 14:30:00
29,30,Book Launch,Festival,Chicago,10:45:00,15:45:00,2023-08-23,2023-08-23 10:45:00,2023-08-23 15:45:00
35,36,Book Launch,Exhibition,Seattle,09:15:00,13:15:00,2024-04-13,2024-04-13 09:15:00,2024-04-13 13:15:00
37,38,Book Launch,Exhibition,Seattle,13:00:00,15:00:00,2023-01-05,2023-01-05 13:00:00,2023-01-05 15:00:00
38,39,Tech Talk,Screening,San Francisco,08:15:00,13:15:00,2023-11-04,2023-11-04 08:15:00,2023-11-04 13:15:00
43,44,Art Exhibition,Workshop,Houston,15:30:00,20:30:00,2024-09-17,2024-09-17 15:30:00,2024-09-17 20:30:00
45,46,Coding Workshop,Exhibition,Boston,11:00:00,15:00:00,2023-12-25,2023-12-25 11:00:00,2023-12-25 15:00:00
47,48,Science Fair,Screening,Seattle,09:15:00,14:15:00,2023-05-13,2023-05-13 09:15:00,2023-05-13 14:15:00
48,49,Music Concert,Festival,San Francisco,16:45:00,19:45:00,2024-05-17,2024-05-17 16:45:00,2024-05-17 19:45:00
49,50,Food Festival,Fair,Chicago,14:30:00,18:30:00,2023-12-16,2023-12-16 14:30:00,2023-12-16 18:30:00
50,51,Art Exhibition,Exhibition,Chicago,12:45:00,14:45:00,2023-09-13,2023-09-13 12:45:00,2023-09-13 14:45:00
